,datetime,description,icon
0,2023-01-23,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow
1,2023-01-24,Partly cloudy throughout the day.,snow
2,2023-01-25,Partly cloudy throughout the day with late afternoon rain or snow.,snow
3,2023-01-26,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
4,2023-01-27,Clearing in the afternoon.,partly-cloudy-day
5,2023-01-28,Partly cloudy throughout the day.,partly-cloudy-day
6,2023-01-29,Cloudy skies throughout the day.,cloudy
7,2023-01-30,Partly cloudy throughout the day.,partly-cloudy-day
