,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-01-23,2.2,0.0,1.3,-2.4,-6.6,-4.1,0.1,91.7,23.283,100,87.5,"rain,snow",11.5,2.1,49.8,36.6,344.6,1002.1,99.5,6.6,13.3,1.1,1,10,2023-01-23T07:06:08,2023-01-23T16:46:27,0.06,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,F2973,OXBM3"
1,"Boston, MA, United States",2023-01-24,3.4,-0.7,1.4,-0.8,-7.4,-3.8,-2.8,73.5,0.0,0,0.0,,0.3,3.9,47.9,31.1,265.3,1015.5,73.3,16.0,46.2,4.0,2,10,2023-01-24T07:05:22,2023-01-24T16:47:43,0.1,Partially cloudy,Partly cloudy throughout the day.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
2,"Boston, MA, United States",2023-01-25,4.4,1.0,1.9,0.8,-3.5,-1.7,-1.5,78.4,5.475,100,20.83,"rain,snow",0.8,0.1,42.5,32.8,156.7,1022.8,87.8,13.9,35.7,3.0,2,10,2023-01-25T07:04:34,2023-01-25T16:49:00,0.13,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
3,"Boston, MA, United States",2023-01-26,12.2,2.2,7.3,12.2,-3.3,3.8,3.1,75.9,21.181,100,45.83,rain,0.0,0.0,59.5,41.8,245.7,999.0,95.2,13.3,31.4,2.7,1,10,2023-01-26T07:03:44,2023-01-26T16:50:17,0.16,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,F2973,OXBM3"
4,"Boston, MA, United States",2023-01-27,5.6,-0.7,1.9,3.2,-5.2,-1.7,-6.0,56.4,0.0,0,0.0,,0.0,0.0,48.1,32.9,275.3,1017.5,54.6,16.0,96.8,8.4,4,10,2023-01-27T07:02:52,2023-01-27T16:51:35,0.2,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2023-01-28,9.4,-0.7,4.8,6.3,-5.5,1.3,-3.8,56.4,0.0,0,0.0,,0.0,0.0,46.2,34.9,228.6,1022.4,70.4,16.0,96.3,8.3,4,10,2023-01-28T07:01:59,2023-01-28T16:52:52,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,F6999,72505914702"
6,"Boston, MA, United States",2023-01-29,10.0,2.1,6.4,10.0,0.1,4.7,0.6,66.8,0.0,0,0.0,,0.0,0.0,38.9,25.7,198.1,1023.2,91.4,16.0,42.7,3.7,2,10,2023-01-29T07:01:03,2023-01-29T16:54:10,0.26,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
7,"Boston, MA, United States",2023-01-30,7.8,3.3,5.7,7.2,0.6,3.4,1.4,74.5,0.0,0,0.0,,0.0,0.0,27.7,18.0,234.4,1019.6,80.1,16.0,70.5,6.1,4,10,2023-01-30T07:00:05,2023-01-30T16:55:29,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,72505914702"
