,datetime,tempmin,temp,tempmax
0,2023-02-06,0.7,4.6,8.9
1,2023-02-07,-3.8,-1.3,0.7
2,2023-02-08,1.2,5.4,8.9
3,2023-02-09,1.5,4.9,7.8
4,2023-02-10,3.4,8.6,15.0
5,2023-02-11,1.6,4.5,6.8
6,2023-02-12,-0.8,4.3,10.0
7,2023-02-13,2.8,4.3,6.2
