,datetime,tempmin,temp,tempmax
0,2023-01-30,3.3,5.7,7.8
1,2023-01-31,-5.0,0.6,5.0
2,2023-02-01,-6.1,-3.4,-1.2
3,2023-02-02,-4.4,-0.6,3.4
4,2023-02-03,-21.0,-7.7,0.6
5,2023-02-04,-22.8,-16.0,-8.8
6,2023-02-05,-8.3,1.8,10.0
7,2023-02-06,0.7,4.6,8.9
