,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-01-30,7.8,3.3,5.7,7.2,0.6,3.4,1.4,74.5,0.0,0,0.0,,0.0,0.0,27.7,18.0,234.4,1019.6,80.1,16.0,70.5,6.1,4,10,2023-01-30T07:00:05,2023-01-30T16:55:29,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2023-01-31,5.0,-5.0,0.6,2.0,-10.1,-3.9,-5.9,63.5,1.109,100,25.0,"rain,snow",1.4,0.2,35.3,25.5,341.6,1021.7,78.8,14.7,46.7,4.1,4,10,2023-01-31T06:59:06,2023-01-31T16:56:47,0.33,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"KOWD,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,72505914702,C3577"
2,"Boston, MA, United States",2023-02-01,-1.2,-6.1,-3.4,-2.1,-12.0,-7.7,-13.9,44.6,0.0,0,0.0,,0.0,0.0,22.3,21.7,334.3,1024.5,46.6,16.0,84.9,7.3,5,10,2023-02-01T06:58:05,2023-02-01T16:58:06,0.36,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2023-02-02,3.4,-4.4,-0.6,-1.0,-10.0,-5.8,-11.1,45.8,0.0,0,0.0,,0.0,0.0,40.7,27.3,233.6,1018.3,50.6,16.0,90.0,7.9,4,10,2023-02-02T06:57:02,2023-02-02T16:59:24,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2023-02-03,0.6,-21.0,-7.7,-5.3,-35.3,-17.1,-21.2,34.3,0.008,100,4.17,snow,0.0,0.0,66.5,49.5,289.8,1011.7,48.1,16.0,99.6,8.6,5,10,2023-02-03T06:55:57,2023-02-03T17:00:43,0.43,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"KOWD,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2023-02-04,-8.8,-22.8,-16.0,-15.6,-37.8,-26.6,-30.3,28.9,0.0,0,0.0,,0.0,0.0,58.5,40.1,277.3,1031.8,54.1,16.0,94.1,8.2,4,10,2023-02-04T06:54:51,2023-02-04T17:02:02,0.46,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2023-02-05,10.0,-8.3,1.8,10.0,-15.3,-2.5,-7.3,52.5,0.0,0,0.0,,0.0,0.0,53.3,34.8,214.1,1020.8,91.8,16.0,87.4,7.6,4,10,2023-02-05T06:53:43,2023-02-05T17:03:20,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,AV085,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2023-02-06,8.9,0.7,4.6,5.7,-4.1,1.3,-2.2,62.2,0.0,0,0.0,,0.0,0.0,46.4,25.9,354.2,1016.3,80.1,16.0,63.8,5.4,2,10,2023-02-06T06:52:33,2023-02-06T17:04:39,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,72505914702,OXBM3"
