,datetime,description,icon
0,2023-01-30,Partly cloudy throughout the day.,partly-cloudy-day
1,2023-01-31,Partly cloudy throughout the day with rain or snow clearing later.,snow
2,2023-02-01,Clearing in the afternoon.,partly-cloudy-day
3,2023-02-02,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-02-03,Partly cloudy throughout the day with morning snow.,rain
5,2023-02-04,Becoming cloudy in the afternoon.,partly-cloudy-day
6,2023-02-05,Cloudy skies throughout the day.,cloudy
7,2023-02-06,Partly cloudy throughout the day.,partly-cloudy-day
