,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-02-13,6.2,2.8,4.3,2.5,-0.5,0.8,-0.1,73.2,0.0,0,0.0,,0,0,42.5,33.0,29.0,1004.1,82.6,16.0,36.0,2.9,2,10,2023-02-13T06:43:44,2023-02-13T17:13:47,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2023-02-14,10.7,2.2,6.1,10.7,-0.5,3.8,-3.1,55.4,0.0,0,0.0,,0,0,40.7,29.4,298.9,1013.2,46.1,16.0,84.3,7.4,5,10,2023-02-14T06:42:23,2023-02-14T17:15:04,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2023-02-15,13.9,1.0,7.4,13.9,-1.8,5.7,2.2,70.3,0.0,0,0.0,,0,0,54.4,40.3,193.7,1016.9,60.0,16.0,59.1,5.1,4,10,2023-02-15T06:41:01,2023-02-15T17:16:22,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2023-02-16,16.8,9.3,13.2,16.8,8.4,13.1,3.2,52.9,0.29,100,4.17,rain,0,0,40.3,25.6,250.4,1012.8,64.9,16.0,65.7,5.9,3,10,2023-02-16T06:39:37,2023-02-16T17:17:39,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2023-02-17,15.0,-1.7,8.2,15.0,-9.3,6.2,4.9,79.9,1.916,100,29.17,rain,0,0,59.2,38.4,281.8,1003.3,99.0,15.6,23.5,1.9,1,10,2023-02-17T06:38:12,2023-02-17T17:18:56,0.91,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2023-02-18,4.4,-5.0,-0.6,0.2,-11.6,-6.0,-12.0,43.4,0.0,0,0.0,,0,0,55.0,35.0,285.6,1022.1,23.3,16.0,117.5,10.2,5,10,2023-02-18T06:36:46,2023-02-18T17:20:12,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F2140,KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2023-02-19,7.9,0.5,4.2,5.1,-4.4,0.8,-4.3,55.2,0.0,0,0.0,,0,0,42.5,25.6,202.5,1024.5,84.4,16.0,71.4,6.2,3,10,2023-02-19T06:35:19,2023-02-19T17:21:28,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,F2861,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2023-02-20,15.7,6.8,10.8,15.7,4.0,9.6,2.5,60.8,0.0,0,0.0,,0,0,42.3,27.5,253.2,1005.9,82.3,16.0,70.1,6.0,3,10,2023-02-20T06:33:51,2023-02-20T17:22:44,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
