,datetime,tempmin,temp,tempmax
0,2023-02-23,-2.7,0.0,2.3
1,2023-02-24,-7.2,-2.7,1.2
2,2023-02-25,-10.0,-7.4,-5.0
3,2023-02-26,-7.3,-2.7,2.2
4,2023-02-27,-4.9,-1.5,0.8
5,2023-02-28,-0.2,1.7,2.9
6,2023-03-01,-2.6,-0.3,1.8
7,2023-03-02,-2.9,0.0,2.9
