,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-02-20,15.7,6.8,10.8,15.7,4.0,9.6,2.5,60.8,0.0,0,0.0,rain,0.0,0.0,42.3,27.5,253.2,1005.9,82.3,16.0,70.1,6.0,3,10,2023-02-20T06:33:51,2023-02-20T17:22:44,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2023-02-21,7.8,0.7,3.8,5.3,-2.5,0.7,0.7,81.7,4.204,100,54.17,"rain,snow",0.6,0.2,25.9,25.6,57.8,1005.0,99.5,14.1,21.3,1.7,1,10,2023-02-21T06:32:22,2023-02-21T17:24:00,0.05,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2023-02-22,6.2,0.7,4.0,3.5,-3.5,0.6,-4.2,56.8,3.9,100,16.67,"rain,snow,ice",0.9,1.0,40.7,24.0,275.0,1017.6,61.1,14.3,81.8,7.0,4,10,2023-02-22T06:30:52,2023-02-22T17:25:16,0.08,"Snow, Rain, Ice, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"KOWD,AV085,KBED,0518W,KBOS"
3,"Boston, MA, United States",2023-02-23,1.2,-2.7,-0.4,-2.7,-7.7,-6.2,-1.2,94.7,13.231,100,91.67,"rain,freezingrain,snow,ice",1.9,2.6,55.4,40.2,49.2,1015.9,99.6,3.6,24.0,2.1,1,10,2023-02-23T06:29:21,2023-02-23T17:26:31,0.11,"Snow, Rain, Freezing Drizzle/Freezing Rain, Ice, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KOWD,KBED,0518W,KBOS"
4,"Boston, MA, United States",2023-02-24,1.2,-7.2,-2.7,-4.7,-15.1,-9.3,-7.0,73.0,4.1,51,12.5,"rain,freezingrain,snow,ice",0.4,2.3,50.0,37.1,303.0,1019.4,34.2,14.2,146.5,12.7,5,10,2023-02-24T06:27:49,2023-02-24T17:27:46,0.14,"Snow, Rain, Freezing Drizzle/Freezing Rain, Ice, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,
5,"Boston, MA, United States",2023-02-25,-5.0,-10.0,-7.3,-9.1,-17.2,-13.1,-15.2,53.8,0.0,18,0.0,,0.0,0.6,33.5,22.3,303.3,1030.2,54.6,16.3,144.1,12.6,4,10,2023-02-25T06:26:16,2023-02-25T17:29:00,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
6,"Boston, MA, United States",2023-02-26,2.1,-6.7,-2.4,-2.0,-11.7,-7.1,-7.0,70.9,0.4,38,8.33,"rain,snow",0.1,0.0,30.2,19.1,236.5,1012.8,71.4,18.5,103.4,9.0,3,10,2023-02-26T06:24:42,2023-02-26T17:30:14,0.21,Partially cloudy,Partly cloudy throughout the day.,snow,
7,"Boston, MA, United States",2023-02-27,0.6,-4.7,-1.6,-3.5,-10.9,-6.8,-7.2,66.0,0.5,52,4.17,"rain,snow",0.0,0.0,30.2,19.8,21.0,1013.9,58.5,24.1,178.3,15.8,5,10,2023-02-27T06:23:07,2023-02-27T17:31:28,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,
