,datetime,description,icon
0,2023-02-20,Partly cloudy throughout the day.,partly-cloudy-day
1,2023-02-21,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow
2,2023-02-22,Partly cloudy throughout the day with rain or snow.,snow
3,2023-02-23,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow
4,2023-02-24,Partly cloudy throughout the day with early morning snow or rain.,snow
5,2023-02-25,Partly cloudy throughout the day.,partly-cloudy-day
6,2023-02-26,Partly cloudy throughout the day.,snow
7,2023-02-27,Partly cloudy throughout the day with late afternoon rain or snow.,rain
