,datetime,tempmin,temp,tempmax
0,2023-02-20,6.8,10.8,15.7
1,2023-02-21,0.7,3.8,7.8
2,2023-02-22,0.7,4.0,6.2
3,2023-02-23,-2.7,-0.4,1.2
4,2023-02-24,-7.2,-2.7,1.2
5,2023-02-25,-10.0,-7.3,-5.0
6,2023-02-26,-6.7,-2.4,2.1
7,2023-02-27,-4.7,-1.6,0.6
